Title,Authors,Co-authors,Editors,Illustrators,Publisher,Edition,Year,Volume,ISBN,ISBN13,ISSN,"Call No",Category,Subject,Type,Description,Tags,Series
Clay,,,,,"George Town World Heritage Incorporated",3rd,2013,,,,,A1,Publication,,Publication,,Architecture,"Introduction to Heritage Building Materials"
"Clayarch Gimhae Museum",,,,,"Clayarch Gimhae Museum",,,,,,,C3,Education,,Book,,,
"Clean, Green and Blue Singapore's Journey Towards Environmental and Water Sustainability",,,,,"Institute of Southeast Asian Studies",,,,9812308601,9789812308603,,G1,Unknown,,Book,,,
"Click!. Strategi taktis berkomunikasi dengan berbagai kepribadian","Erwin Parengkuan",,,,"MRA Media Publishing House",,2010,,,9786029780406,,B2,,,Book,,,
"Climate change in Brazil : economic, social and regulatory aspects.","Ronaldo Seroa da Motta",,,,"Instituto de Pesquisa Econômica Aplicada. IPEA",,2017,,8578111281,9788578111281,,G2,Unknown,,Book,,,
"Collage City (MIT Press)","Colin Rowe; Prof Fred Koetter",,,,"The MIT Press",Reprint,1984,,0262680424,9780262680424,,F1,Unknown,,Book,"<p>This book is a critical reappraisal of contemporary theories of urban planning and design and of the role of the architect-planner in an urban context. The authors, rejecting the grand utopian visions of ""total planning"" and ""total design,"" propose instead a ""collage city"" which can accommodate a whole range of utopias in miniature.</p> - from Amzon","Buildings, Urban & Land Use Planning, Architecture, Architecture",
"Collapse: How Societies Choose to Fail or Succeed","Jared Diamond",,,,"Penguin Group USA Inc.",1,2004,,0670033375,9780670033379,,E2,Unknown,,Book,,"Historical Study & Educational Resources, Civilization & Culture, Environmental Science, Historic, Human Geography, Cultural, General, Archaeology, Environmental Policy",
"Common Sense on Mutual Funds: New Imperatives for the Intelligent Investor","John C. Bogle",,,,"John C. Wiley & Sons",,2017,,,,,E2,Unknown,,Book,,,
"Common Stocks and Uncommon Profits and Other Writings","Philip A. Fisher",,,,Wiley,2,2003,,0471445509,9780471445500,,H2,Unknown,,Book,"Widely respected and admired, Philip Fisher is among the most influential investors of all time. His investment philosophies, introduced almost forty years ago, are not only studied and applied by today's financiers and investors, but are also regarded by many as gospel. This book is invaluable reading and has been since it was first published in 1958. The updated paperback retains the investment wisdom of the original edition and includes the perspectives of the author's son Ken Fisher, an investment guru in his own right in an expanded preface and introduction <p>""I sought out Phil Fisher after reading his<i> Common Stocks and Uncommon Profits</i>...A thorough understanding of the business, obtained by using Phil's techniques...enables one to make intelligent investment commitments.""<br /> —<b>Warren Buffet</b></p> - from Amzon","Economics, Stocks, Investments & Securities",
"Community Design and the Culture of Cities: The Crossroad and the Wall","Eduardo E. Lozano",,,,"Cambridge University Press",,1990,,0521380677,9780521380676,,E1,Unknown,,Book,"Having perceived a widespread failure of most community-scale plans, Eduardo Lozano has created a large and humane vision for community design, geared toward urban planners and designers, as well as those concerned with the communities of the future.  Lozano strives to unify theory and practice, seeing that design at community scale is a relatively new responsibility for professionals and seeing the need for an awareness of the systemic nature of urban design.  He also highlights relevant lessons from historical examples in order to rediscover the community design metier forgotten after the industrial revolution.  The author relies on interdisciplinary studies, drawing from biology, ecology, and political science, as well as from history for his fascinating study.  Throughout the book there is an emphasis on the interrelationship of design and culture--society, technology, institutions, and values--and on the need for an agenda for political and cultural change. - from Amzon","Architecture, Architecture, Specific Demographics, Rural, Architecture",
"Community-Based Disaster Risk Management: Field Practitioners' Handbook","Imelda Abarquez; Zubair Murshed",,,,ADPC,,2004,,,,,G2,,,Book,,,"Community-Based Disaster Risk Management"
"Community-Based Disaster Risk Management: Integration to Socio-economic Development Process","Dr. Le Huu Ti",,,,UNESCAP,,2004,,,,,G2,,,Book,,,"Community-Based Disaster Risk Management"
"Complete Maus A Survivor's Tale HC (2011 25th Anniversary) #1","Art Spiegelman",,,,Pantheon,2nd,2017,,0679406417,9780679406419,,,Unknown,,Book,"Maus tells the story of Vladek Spiegelman, a Jewish survivor of Hitler's Europe, and his son, a cartoonist coming to terms with his father's story. Maus approaches the unspeakable through the diminutive. Its form, the cartoon (the Nazis are cats, the Jews mice), shocks us out of any lingering sense of familiarity and succeeds in ""drawing us closer to the bleak heart of the Holocaust"" (The New York Times) Graphic novel, holocaust. - from Amzon","Memoirs, Holocaust",
"Comprehensive site planning",,,,,,,2012,,,,,E3,Urbanism,,Book,,,
"Confessions (The Penguin Classics)",Augustine,,,,"Penguin Books",Reprint,1961,,014044114X,9780140441147,,H2,Unknown,,Book,"This series brings you the most influential philosophy books of all ages in a convenient format. From Plato to Nietzsche, these timeless masterpieces of philosophical literature have shaped our civilization and culture. This anthology is a must-have addition to any library. - from Amzon","Religious, Religion & Spirituality, Religious",
"Confronting [In]formality. Experiences of working with urban informal development around the world","Yos Purwanto",,"Daniel Radai; Todor Kesarovski",,"Delft University of Technology",,2016,,,9789461866233,,F1,,,Publication,,,
"Confronting climate change","Biagini, B.",,,,"National Environmental Trust",,,,0970693702,9780970693709,,,Unknown,,Book,,"climatic_changes_government_policy_developing_countries1, greenhouse_gas_mitigation_developing_countries1",
"Confronting Climate Change: Economic Priorities and Climate Protection in Developing Nations",,,"B. Biagini",,"National Environmental Trust",,2000,,,,,G2,,,Book,,,
"Connecting Civil Societies III: An Asia-Europe Dialogue on Economy and Society. Conference Proceedings","Sol Iglesias",,"Ronan Lenihan",,"Asia-Europe Foundation",,2010,,,9789810869724,,E1,,,Book,,,
"Connections: Studies in Building Assembly","Alan J. Brookes; Chris Grech",,,,"Whitney Library of Design",,1994,,0823009157,9780823009152,,I3,Unknown,,Book,"In these times of an expanding technology as a means of creating architectural form, there are surprisingly few books which seek to explore the relationship between the overall intention of a project and the means of achieving it.  In this sequel to the<br>authors' highly-acclaimed volume, The Building Envelope, details of examples of good modern buildings are examined and analysed on a comparative basis. <br><br>  The buildings selected for these technical studies were chosen for their innovative use of materials and detailing.  They represent the most recent work of leading international architects and will undoubtedly become a major source of inspiration for architects and engineers. The text is well supported by photographs and axonometric drawings which provide an essential three-dimensional study of the assembly of connections. - from Amzon",,
"Consequences of Modernity","Anthony Giddens",,,,Wiley-Blackwell,,1991,,0745609236,9780745609232,,G1,Unknown,,Book,"Consequences of Modernity - from Amzon",,
"Constructive Engagement. Building a People-Oriented Community",,,,,"ASEAN Secretariat",,2010,,,9786028411639,,B1,,,Book,,,
"Consumptionomics. Peran Asia dalam Menciptakan Model Kapitalisme Baru","Chandran Nair",,,,"Red & White Publishing",,2013,,,9789791008693,,H1,,,Book,,,
"Contemporary Indian Architecture","Jagan Shah",,,,"Roli Books",,2008,,8174364463,9788174364463,,J2,Unknown,,Book,"<DIV>The first book of its kind in India, The Anthology of Contemporary Indian Architecture showcases emerging and established talent in the field of Indian architecture during the last two decades.While the original masters of classic modern architecture in modern India do feature in this book, The Anthology of Contemporary Indian Architecture devotes itself to the cutting-edge, unique and contemporary designs and monumental creations, ranging from residential and commercial to public spaces, which are putting Indian architects on the world map for architectural excellence.</div> - from Amzon","History, Architecture",
"Convergences: Chen Wen Hsi Centennial Exhibition Volume 1","Chen Wen Hsi",,,,"Singapore Art Museum",,2006,,9810551959,,,J3,Art,,Book,,,
"Convergences: Chen Wen Hsi Centennial Exhibition Volume 2","Chen Wen Hsi",,,,"Singapore Art Museum",1,2006,,,,,J3,Art,,Book,,,
"Cooperation South",,,,,"United Nations Development Programme","No. 1",1999,,,,02593882,H2,,,Journal,,,
"Corporate Culture and Performance","John P. Kotter; James L. Heskett",,,,"Free Press","First Edition, 3rd printing",1992,,0029184673,9780029184677,,H1,Unknown,,Book,"Draws from research at such firms as Hewlett-Packard, Xerox, ICI, and Nissan to show how the culture--shared beliefs, attitudes, and practices--of a company can influence its performance for better or worse. - from Amzon","Company Profiles, Leadership, Management, Management Science, Entrepreneurship",
"Cradle to Cradle: Remaking the Way We Make Things","Michael Braungart; William McDonough",,,,"North Point Press",1st,2002,,0865475873,9780865475878,,G1,Design,,Book,,"Environmental Economics, Industrial Relations, Manufacturing, Environmental, Industrial Design, Ecology, Environmental Science, Conservation, Technology, Environmentalism, Sports & Outdoors, Environmental Policy",
"Creative Economy Report 2013 Special Edition",,,,,UNDP-TUGI,,2013,,,,,B2,economy,,Publication,,,
"CreativeCapital: Culture, Comunity and Vision",,,,,"Santa Monica College","A Plan for The Development of Santa Monica`a Arts and Culture",2007,,,,,G3,Housing,,Book,,,
"Criminal Defamation is an Unconstitusional Restriction on Freedom of Speech",,,,,"ELSAM-Institute For Policy Research and Advocacy",,2010,,,,,B3,Law,,Book,,,
"Critical Planning. UCLA Journal of Urban Planning. Spatial Justice",,,,,,"Vol. 14 Summer 2007",2007,,,,15229807,F1,,,Journal,,,
"Cultural Industries, Cultural Diversity and Cultural Policy in the Time of Globalization: Proceedings of the Consultation","Center for the Study of Culture and Society Alternative Law Forum",,,,"Center for Study of Culture and Society",,2008,,,,,C2,,,Publication,,,
"Cultural Mapping: A Guide to Understanding Place, Community and Continuity","Janet Pillai",,,,"Strategic Information and Research Development Centre",,2017,,9675832827,9789675832826,,D1,Unknown,,Book,"This Manual on cultural mapping provides an invaluable resource for everyone interested in having a deeper understanding of the unique character and identity of a historic place and its community. The simple step by step procedures outlining the processes, tools and techniques for collecting and assessing the cultural assets and resources of any community provide the user with a clear methodology to unravel the complex and significant elements which wake up any human settlement. This has been further demonstrated with the illustration from a case study of cultural mapping within the UNESCO World Heritage Site of George Town, Penang. The manual is a remarkable resource which advocates that cultural mapping becomes the basis for all future urban planning studies to ensure that sensitive and appropriate decisions are made in the management and development of historic sites and communities. A must-use for policy makers, planners, cultural advocates and community leaders. -- Ar. Laurence Loh Deputy President, the Heritage of Malaysia Trust (Badan Warisan Malaysia) - from Amzon",,
"Cultural Policing in Dakshina Kannada. Vigilante Attacks on Women and Minorities, 2008-09",,,,,PUCL-K,,2009,,,,,B1,,,Book,,,
"d'idabu(isasi) banua. Kumpulan Esai Sosial-Politik-Kebijakan","Taufik Arbain",,,,"Pustaka Banua",1,2014,,,9786029864137,,B2,Banjarmasin,,Book,,,
"Dari Batavia samai Jakarta 1616-1999","Zeffry J.",,,,Indonesiatera,1,2001,,9799375401,,,F2,Literature,,Book,,,
"Dari Buku ke Buku: Sambung Menyambung Menjadi Satu (Indonesian Edition)","P. Swantoro",,,,"Kepustakaan Populer Gramedia",,2016,,6026208232,9786026208231,,H3,Unknown,,Book,"<p>Sinopsis:  <p>“Membaca buku [ini] mengasyikkan untuk saya. Lancar dan mengalir seperti membaca ceritera. Story-telling, begitulah gayanya. [P. Swantoro] benar-benar seorang sejarawan, yang cermat terhadap sumber. Setiap kali muncul suatu peristiwa atau komentar bukan saja disebutkan oleh siapa, tetapi juga sekaligus dalam penerbitan apa, siapa pengarangnya, siapa penerbitnya, tahun penerbitan, dan halaman berapa. <br>-Jakob Oetama, <br>Pemimpin Umum Harian Kompas  <p>Karya ini bukan sekedar kisah seorang bibliofili seperti Philobiblon karya Richard de Bury, uskup Durban, yang terbit pada 1473, tetapi terlebih merupakan lantunan kegirangan bekerja, semangat, dan gairah hidup sang pencerita berkat pesona buku. Memang, bukan tanpa alasan kalau karya ini diberi judul Dari Buku ke Buku Sambung Menyambung Menjadi Satu. Bukan lagi buku per buku yang penting, melainkan perasaan, kesadaran, dan pengertian baru yang lebih kuat tentang kehidupan, yang disumbangkan oleh seluruh buku.  <p>Tidak kurang daripada 200 buku diceritakan di sini dengan cara yang demikian rupa sehingga tampil seolah-olah pribadi yang hidup: bagaimana buku lahir, berkembang, bergerak dan menggerakkan sang pencerita dalam kegiatannya sehari-hari. Di latar-belakang masih tersembunyi sekitar tiga-ribuan buku lain milik pribadi sang pencerita yang memancarkan pengaruhnya, kendati tidak bisa dapat tempat lagi untuk diceritakan. Sang pencerita hendak memindahkan sebagian buku itu ke museum khusus di daerah tempat lahirnya, Yogyakarta, dan sebagian lagi di rumahnya, dengan harapan akan dimanfaatkan oleh umum. Lewat karyanya ini ia terlebih dulu ingin bercerita kepada cucu-cucunya, dan dengan itu kepada generasi mereka. - from Amzon",,
"Dari Jawa Menuju Atjeh","Linda Christanty",,,,"Kepustakaan Populer Gramedia",1,2009,,,9789799101549,,K1,Journalism,,Book,,"Marco Kusumawijaya",
"Dari Manajemen Qolbu ke Manajemen Lingkungan. Transformasi Kampung-Kota Santri","M. Syaom Berliana; R.R. Tjahyani Busono; Erna Krisnanto",,,,METATEKSTUR,,2009,,,9786029672305,,E2,,,Book,,,
"Dari Rimba Raya ke Jakarta Raya","Dr. H. Soemarno Sosroatmodjo",,,,"PT Gunung Agung",,1981,,,,,F2,"Urbanism, Indonesian City",,Book,,,
"Data Potensi dan Produksi Hasil Hutan Bukan Kayu Nasional",,,,,"Direktorat Usaha Jasa Lingkungan & HHBK Hutan Produksi Direktorat Jenderal Pengelolaan Hutan Produksi Lestari",,2018,,,,,D1,Publication,,Publication,,,
"Daya: Kilas pemikiran sosial dalam foto","Fred Hehuwat; Helen Lok; Didid Adi Dananto",,,,"Ashoka Indonesia",,2002,,9799593360,9789799593368,,,Unknown,,Book,,,
"Decent Capitalism: A Blueprint for Reforming our Economies","Sebastian Dullien; Hansjorg Herr; Christian Kellermann",,,,"Pluto Press",,2011,,0745331092,9780745331096,,H2,Unknown,,Book,"<P style=""BORDER-TOP-COLOR: ; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; MARGIN: 0in 0in 10pt; BORDER-RIGHT-COLOR: "">The recent crisis, created by finance capitalism, has brought us to the economic abyss. The excessive freedom of international markets has rapidly transformed into international panic, with states struggling to rescue and bail out a globalised financial sector. Reform is promised by our leaders, but in governments dominated by financial interests there is little hope of meaningful change.<BR><BR><I>Decent Capitalism</I> argues for a response that addresses capitalism’s systemic tendency towards crisis, a tendency which is completely absent from the mainstream debate. The authors develop a concept of a moderated capitalism that keeps its core strengths intact while reducing its inherent destructive political force in our societies. This book argues that reforming the capitalist system will have to be far more radical than the current political discourse suggests.<BR><BR><I>Decent Capitalism</I> is a concept and a slogan that will inspire political activists, trade unionists and policy makers to get behind a package of reforms that finally allows the majority to master capitalism. <div></div> - from Amzon","Economic Conditions, Theory, Democracy, European",
"Delirious New York (bound corrected page proofs of 1994 reprint)","Rem Koolhaas",,,,"010 Publishers","New Ed",1994,,9064502110,9789064502118,,F1,Unknown,,Book,,,
"Delta Primer: A Field Guide to the California Delta","Jane Wolff",,,,"William K Stout Pub",,2003,,0970973179,9780970973177,,G1,Unknown,,Book,"Growing worldwide interest in water systems makes this provocative examination of Northern California's Sacramento-San Joaquin River Delta far more important than its regional focus suggests. As author Wolff presents the story of the land and water through images, historical data and an intricate mapping system, Delta Primer frames public discussion about the transformation of the American landscape. - from Amzon","Landscape, State & Local, United States, Architecture",
"Democracy, Accountability, and Representation (Cambridge Studies in the Theory of Democracy)",,,,,"Cambridge University Press",,1999,,0521646162,9780521646161,,H1,Unknown,,Book,"This book examines whether mechanisms of accountability characteristic of democratic systems are sufficient to induce the representatives to act in the best interest of the represented. The first part of the volume focuses on the role of elections, distinguishing different ways in which they may cause representation. The second part is devoted to the role of checks and balances, between the government and the parliament as well as between the government and the bureaucracy. Overall, the essays combine theoretical discussions, game-theoretic models, case studies, and statistical analyses, within a shared analytical approach and a standardized terminology. The empirical material is drawn from the well established democracies as well as from new democracies. - from Amzon","Democracy, History & Theory, Political History, Political Ideologies",
"Democratization in Indonesia: An Assessment (Capacity-Building Series, 9)","International Institute for Democracy and Electoral Assistance",,,,"International IDEA",,2000,,9189098420,9789189098428,,B2,Unknown,,Book,,"History & Theory, Political History",
"Demokrasi di Atas Pasir",,,"Willy Purna Samadhi; Nicolaas Warouw",,"PCD Press",,2009,,,9789791704922,,B1,,,Book,,,
"Demokratie als Bauherr: Die Bauten des Bundes in Berlin 1991-2000",,,,,Junius,,2017,,3885062909,9783885062905,,J2,Unknown,,Book,,,
"Dengan Transportasi Air Kita Jangkau Seluruh Pelosok Nusantara",,,"Darmaningtyas; Rosita Sinaga; Kartika Mulia Ratih; Kustining",,"Badan Penelitian dan Pengembangan Kementerian Perhubungan ",,2014,,,9789791538565,,G2,,,Book,,,
"Desa Wisata Borobudur: Tersembunyi di 20 Desa Wisata: Wisata Alam, Agrowisata, Kuliner, Kerajinan, Tradisi, & Homestay",,,,,"PT Gramedia Pustaka Utama",,,,,9789792290783,,B3,Tourism,,Book,,"Borobudur, Pariwisata",
"Desain Perancangan Responsif dan Kreatif untuk Kampung Pulo Jakarta",,,,,"TU Wien & Universitas Tarumanegara",,2011,,,9783902641038,,J3,,,Book,,,
"Desain sebagai Generator Pemberdayaan Masyarakat","Martin Luqman Katoppo",,,,"Institut Teknologi Bandung",1,2017,,,,,E2,Architecture,,Thesis,,,
"Design for High-Intensity Development",,,,,"The Aga Khan Program for Islamic Architecture",,1986,,,,,J2,,,Publication,,,
"Design in Architecture: Architecture and the Human Sciences","Professor Geoffrey Broadbent",,,,"John Wiley & Sons Ltd",Reprint,1977,,0471995274,9780471995272,,J1,Unknown,,Book,"Book by Broadbent, Geoffrey - from Amzon","Interior Design, Decorative Arts, Interior Decorating",
"Design Strategies in Architecture: An Approach to the Analysis of Form","Geoffrey H. Baker",,,,"Van Nostrand Reinhold",1st,1989,,0747600414,9780747600411,,J3,Architecture,,Book,"This is an explanation of the nature and role of architecture by reference to the work of several important contemporary theorists. It establishes the importance of such key issues in design as the ""Genius Loci"", or spirit of place, the existence of what can best be termed ""forces"" which effect design and the essential characteristics of form, including such issues as geometry, structure, axes, surface treatment and rhythm. In the second part of the book a series of analysis demonstrate the methodology which includes an analyses of the city and works by significant masters of modern architecture including Alvar Aalto, Richard Meier, James Stirling and Robert Venturi. - from Amzon","Drafting & Presentation, Study & Teaching",
"Design with the Other 90%: Cities","Cynthia E. Smith",,,,"Cooper Hewitt, Smithsonian Design Museum",,2011,,0910503834,9780910503839,,E1,Unknown,,Book,"Half the world's population now resides in cities, which are expanding at an unprecedented rate. Close to one billion people live in crowded, unhealthy, informal settlements--commonly referred to as slums--many of which lack security of land tenure, adequate housing, sanitation, clean water and electricity. Experts estimate that by 2030, more than two billion people will be living in these slums. In 2007, <I>Design for the Other 90%</I> explored design that helps provide better access to food, water, shelter, health, education and energy to those who most need them. <I>Design with the Other 90%: Cities</I> is the second installment in Cooper-Hewitt's ongoing and acclaimed exhibition and book series. It looks at some of the myriad challenges created by accelerated urban growth and presents design solutions that address the consequences. Exploring the multidisciplinary, overlapping relationships between urban planning and design, education, social entrepreneurship, climate change, sanitation and water, migration, public health and affordable housing in these communities, <I>Design with the Other 90%: Cities</I> looks at the efforts of international and locally based organizations, designers and communities collaborating with settlement residents to give them a chance at a more prosperous life. - from Amzon","Urban & Land Use Planning, Sustainability & Green Design, Industrial & Product Design",
"Devenir de l'Homme","E. Boné, S.J.",,,,"La Pensée Catholique",,1962,,,,,C2,,,Book,,,
"Di Balik Investigasi Tempo 01","Toriq Hadad; Budi Setiyarso; Mustafa Silalahi; Rusman Paraqbueq; Stefanus Pramono; Bagja Hidayat; Philipus Parera",,"Muhammad Taufiqurohman",,"PT Tempo Inti Media Harian",,2017,,,9786026773111,,C1,,,Book,,,
"Die Mauerreise",,,,,"Steidl Gerhard Verlag",,,,3869300841,9783869300849,,D2,Unknown,,Book,,,
"Digging4Data (Mencari Data). Bagaimana meneliti lingkungan terbangun di Indonesia 1620-1950","Huib Akihary; Nadia",,,,"Cultural Heritage Agency of the Netherlands (RCE)",1,2016,,,,,K1,"Indonesian Studies",,Book,,,
"Dinamika Sosial Sebuah Kota di Jawa","Clifford Geertz",,,,"PT Pustaka Grafitipers",,1986,,,,,F1,,,Book,,,
"Directory GBC Indonesia 2011",,,,,"Green Building Council Indonesia",,2011,,,,,F3,Architecture,,Publication,,,
"Direktori Potensi Inovatif Masyarakat Jakarta",,,,,"Lembaga Pemberdayaan Masyarakat Jakarta (LPMJ)",,2012,,,9786027023611,,F2,,,Book,,,
"Disaster Management and People: Working Toward the Creation of a Strong Society",,,,,"The Japan Foundation",,2012,,,9784875401520,,G2,,,Book,,,
"Diskusibulanpurnama. [Dpb.]. Kumpulan Hasil Diskusi Tahun 2000",,,,,"Jaringan Kerja Budaya",,2002,,,,,B2,,,Book,,,
"Dispatches D5: Endgame","Philip Blenkinsop; Balazs Gardi; Tim Hirsch; Nancy Harmon Jenkins; Jane Kay; David Liittschwager; Andrew Marshall; Alan Weisman; Jeff Danziger",,,,"Dispatches Corporation",,2009,,0984115943,9780984115945,,C2,Unknown,,Book,"Ahead of the Copenhagen conference on climate change <i>dispatches</i>_endgame is devoted to the environment: the follies that brought us to this brink, the small steps we can take in the attempt to mitigate disaster and the adaptions that we need to make in order to continue as a global society dependent on our natural resources.   <BR>Climate change will find us whether we are in first world Arizona or third world Bangladesh. Alan Weisman pens the title piece after leaving his native, parched home state for the damper and more secure tracts of New England. In our First World comfort zone the battle for water, geography and topography is winning over technology. Seven thousand miles away in Bangladesh the battle is already lost and the nation must adapt to its new environment; it is too late for mitigation.   <BR>Small inroads of change are being made with mixed success through regulation and legislation. California state s groundbreaking law, AB32, targeting lower carbon emissions is heralded but the regulating of the fishing industry has been largely unsuccessful at a time when rampant over fishing is leading to the disappearance of many species. - from Amzon",,
"DnA_Design and Architeectire, Beijing: Architecture as Transformer Projects 2004-2018",,,,,"Kristin Feireiss, Hans-Jurgen Commerrell","Art Museum",2018,,,,,G3,Architecture,,Publication,,,
"Dreamseekers: Indonesian Women as Domestic Workers in Asia","Dewi Anggraeni",,,,"Equinox Publishing",1st,2006,,9793780282,9789793780283,,B2,Unknown,,Book,"When the women come to recruitment agencies to work as domestic helpers overseas, they begin building the foundation of their dreams of a better future. During their training following the recruitment, their dreams assume colours and shapes. They leave their homeland with high hopes and aspirations.  Arriving at their destinations, the workers quickly realize that no amount of training can prepare them for the shock of the cold, foreign world which confronts them. Those who are placed with considerate employers have generally happy working lives. Those who are placed with employers who expect ready-to-use service from their domestic helpers have a long and rocky road to navigate. With very little bargaining power and negotiating skills, as well as social prejudice from many parts of the community, these women's dreams can easily turn into nightmares.   In Dreamseekers: Indonesian Women as Domestic Workers in Asia, veteran journalist Dewi Anggraeni uncovers the hidden world of domestic helpers from all points of view: the employers, the agents, the governments, the NGOs, and most importantly the workers themselves. This first-hand account of the struggles and successes of these women is described in vivid detail, and Dreamseekers is a must-read by anyone interested in the plight of these remarkable women.  About the Author Dewi Anggraeni, a native of Jakarta, is a journalist and novelist now residing in Melbourne. She is the Australia correspondent for Tempo and regular contributor to the Jakarta Post. Her works have been published in Australia, Indonesia, Hong Kong, the USA, the UK, and Malaysia. Dewi has also published seven books, the latest being Who Did This to our Bali and a novel, Snake, (2003, Indra Publishing). She has also contributed to various anthologies and collections of essays including ""Journey to my Cultural Home"", in Weaving a Double Cloth (2002, Pandanus Books). - from Amzon","Human Resources, Women's Studies",
"Drilling Down. The Civil Society to Extractive Industry Revenues and the EITI","David L. Goldwyn",,,,"Revenue Watch Institute",,2008,,,9780981766508,,B2,,,Book,,,
"Driyarkara tentang Negara dan Bangsa","Prof. Dr. N. Driyarkara, S.J.",,,,"Penerbitan Yayasan Kanisius",,1980,,,,,C1,,,Book,,,
DSain,,,,,,,,,,,,B3,Architecture,,Publication,,,
"Du Willst Wirklich Wohnen Wie Deine Mutter",,,,,"Kristin Feireiss, Hans-Jurgen Commerrell","PPAG Architects",2018,,,,,D1,Architecture,,Publication,,,
"Dua Abad Penguasaan Tanah: Pola Penguasaan Tanah Pertanian di Jawa dari Masa ke Masa",,,"S.M.P. Tjondronegoro; Gunawan Wiradi",,"Yayasan Obor Indonesia",Revisi,2008,,,9789794616857,,D2,,,Book,,,
"Dublin, Portrait of a City","Peter Zoeller; Joseph McArdle",,,,"Gill & Macmillan Ltd",,1997,,0717125386,9780717125388,,D1,Unknown,,Book,"Dublin is one of the most historic and exciting cities in Europe. Beautifully situated on the semi-circle of Dublin Bay with mountains in the background, it has successively been a Viking trading centre, a Norman city, the centre of English royal power in Ireland, a Georgian showpiece, a Victorian commercial centre, and now is the capital of an independent member state of the European Union. Award-winning photographer Peter Zoeller captures all of this diversity, richness and beauty in a series of stunnning photographs, in both colour and black and white, reflecting the social and historical traditions of the city. This beautiful portfolio of Zoller's work is complemented by Joseph McArdle's subtle and witty text, making it a perfect gift book to keep and treasure for Dubliner and visitor alike. Other books by Peter Zoeller Heritage of Ireland Heritage of Ireland - French Edition Heritage of Ireland - German Edition. - from Amzon","Cities, Collections, Catalogues & Exhibitions, General, Pictorial",
"Easy Living","Terence Conran",,,,"Conran Octopus Ltd.",,1998,,184091002X,9781840910025,,J2,Unknown,,Book,"/ 184091002 / Interior / Engels / English / Anglais / Englisch / hard cover / dust jacket / 25 x 27 cm / 192 .pp / - from Amzon",,
"EcoCities: Rebuilding Cities in Balance with Nature","Richard Register",,,,"New Society Publishers","Revised ed.",2006,,0865715521,9780865715523,,E1,Unknown,,Book,"<DIV><p>Most of the world’s population now lives in cities. So if we are to address the problems of environmental deterioration and peak oil adequately, the city has to be a major focus of attention.</p><p><i>Ecocities</i> is about re-building cities and towns based on ecological principles for the long term sustainability, cultural vitality and health of the Earth’s biosphere. Unique in the literature is the book’s insight that the <i>form</i> of the city really matters – and that it is within our ability to change it, and crucial that we do. Further, that the ecocity within its bioregion is comprehensible and do-able, and can produce a healthy and potentially happy future.</p><p><i>Ecocities</i> describes the place of the city in evolution, nature and history. It pays special attention to the key question of accessibility and transportation, and outlines design principles for the ecocity. The reader is encouraged to plunge in to its economics and politics: the kinds of businesses, planning and leadership required. The book then outlines the tools by which a gradual transition to the ecocity could be accomplished. Throughout, this new edition is generously illustrated with the author’s own inspired visions of what such rebuilt cities might actually look like.</p><p><b>Richard Register</b> is one of the world's great theorists and authors in ecological city design and planning. The founder of Urban Ecology and Ecocity Builders, he convened the first International Ecocity Conference in 1990, lectures around the world, and has authored two previous books, as well as an earlier edition of <i>Ecocities</i>.</p></DIV> - from Amzon","Buildings, Urban & Land Use Planning, Sustainability & Green Design, Civil & Environmental, Environmental Science, Conservation, Environment, Urban Planning & Development, City Planning & Urban Development",
"Ecological Economics: Principles and Applications","Joshua Farley; Herman E. Daly",,,,"Island Press",1,2003,,1559633123,9781559633123,,G1,Unknown,,Book,"<p>Conventional economics is often criticized for failing to reflect adequately the value of clean air and water, species diversity, and social and generational equity. By excluding biophysical and social systems from their analyses, many conventional economists overlook problems of the increasing scale of human impacts and the inequitable distribution of resources.<p>Ecological Economics is an introductory-level textbook for an emerging paradigm that addresses this flaw in much economic thought. The book defines a revolutionary ""transdiscipline"" that incorporates insights from the biological, physical, and social sciences, and it offers a pedagogically complete examination of this exciting new field. The book provides students with a foundation in traditional neoclassical economic thought, but places that foundation within a new interdisciplinary framework that embraces the linkages among economic growth, environmental degradation, and social inequity.<p>Introducing the three core issues that are the focus of the new transdiscipline -- scale, distribution, and efficiency -- the book is guided by the fundamental question, often assumed but rarely spoken in traditional texts: What is really important to us? After explaining the key roles played by the earth's biotic and abiotic resources in sustaining life, the text is then organized around the main fields in traditional economics: microeconomics, macroeconomics, and international economics. The book also takes an additional step of considering the policy implications of this line of thinking.<p><I>Ecological Economics</I> includes numerous features that make it accessible to a wide range of students:<ul><li> more than thirty text boxes that highlight issues of special importance to students<li> lists of key terms that help students organize the main points in each chapter<li> concise definitions of new terms that are highlighted in the text for easy reference<li> study questions that encourage student exploration beyond the text<li> glossary and list of further readings</ul><p>An accompanying workbook presents an innovative, applied problem-based learning approach to teaching economics.<p>While many books have been written on ecological economics, and several textbooks describe basic concepts of the field, this is the only stand-alone textbook that offers a complete explanation of both theory and practice. It will serve an important role in educating a new generation of economists and is an invaluable new text for undergraduate and graduate courses in ecological economics, environmental economics, development economics, human ecology, environmental studies, sustainability science, and community development. - from Amzon","Environmental Economics, Sustainable Development, Biology, Ecology, Economics, Business Development, Ecology",
