"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"1339","The Little Book of Value Investing","Christopher H. Browne","","","","Wiley","1",2006,NA,"0470055898",9780470055892,"","H2","Unknown",NA,"Book","There are many ways to make money in today’s market, but the one strategy that has truly proven itself over the years is value investing. Now, with <i>The Little Book of Value Investing,</i> Christopher Browne shows you how to use this wealth-building strategy to successfully buy bargain stocks around the world. - from Amzon","Economics, Introduction",""
"1343","The Meiji Constitution: The Japanese Experience of the West and the Shaping of the Modern State","Takii Kazuhiro","","","","International House of Japan","",2017,NA,"4903452042",9784903452043,"","H2","Unknown",NA,"Book","","",""
"1348","The Mystery of Capital: Why Capitalism Triumphs in the West and Fails Everywhere Else","Hernando De Soto","","","","Basic Books","Reprint",2003,NA,"0465016154",9780465016150,"","H2","Unknown",NA,"Book","","Economic History, Free Enterprise, Theory, Economics, Education & Reference, Government & Business",""
"1355","The New Rich in Asia: Mobile Phones, McDonald's and Middle Class Revolution","","","","","Routledge","1",1996,NA,"0415113350",9780415113359,"","H2","Unknown",NA,"Book","This is the first volume in the <EM>The New Rich in Asia</EM> series which examines the economic, social and political construction of the 'new rich' in the countries and territories of East and South East Asia, as well as their impact internationally. From a western perspective the rise of the emergent business and professional class may seem very familiar. However, it is far from clear that those newly enriched by the processes of modernization in East and South East Asia are readily comparable with the middle classes of the West. For example, civil and human rights seem to play a different role in social, political and economic change, and the State is clearly more central as an agent of economic development. This volume is the essential introduction to the series, and identifies the 'new rich' phenomenon in Indonesia, Thailand, Singapore, Malaysia, Korea, China, Hong Kong and Taiwan. The contributors demonstrate that the key to understanding the 'new rich' is to realise that they are neither a single category or class, but in each setting a series of different socio-political groups who have a common inheritance from the process of rapid economic growth. - from Amzon","Ethnic Studies, Sociology, Asian, Middle Eastern, Political Science, Sociology",""
"1399","The Warren Buffett Way, Second Edition","Robert G. Hagstrom; Bill Miller; Kenneth L. Fisher","","","","Wiley","2",2004,NA,"0471648116",9780471648116,"","H2","Unknown",NA,"Book","Buffett is back . . . and better than before! <p>A decade has passed since the book that introduced the world to Warren Buffett -- <b>The Warren Buffett Way</b> by Robert Hagstrom -- first appeared. That groundbreaking book spent 21 weeks on the New York Times Hardcover Nonfiction Bestseller list and sold over 1 million copies.</p> <p>Since then, Warren Buffett has solidified his reputation as the greatest investor of all time -- becoming even richer and more successful, despite the wild fluctuation of the markets. How does this value investing legend continue to do it? That's where Robert Hagstrom and the Second Edition of <b>The Warren Buffet Way</b> come in. This edition is a completely revised and updated look at the Oracle of Omaha -- comprising Buffett's numerous investments and accomplishments over the past ten years, as well as the timeless and highly successful investment strategies and techniques he has always used to come out a market winner. This edition is especially accessible as Buffett's basic tenets of investing are presented and illuminated with relevant and up to date examples.</p> <p>Order your copy today!</p> - from Amzon","Business, Theory, Finance, Introduction, Motivational, Personal Finance",""
"1400","The Warren Buffett Way: Investment Strategies of the World's Greatest Investor","Robert G. Hagstrom","","","","Wiley","1",1994,NA,"0471044601",9780471044604,"","H2","Unknown",NA,"Book","""Simply the most important new stock book of the 1990s, to date. Buy it and read it."" -Kenneth L. Fisher Forbes<br /> <br /> The runaway bestseller-updated with new material included for the first time!<br /> <br /> ""The Warren Buffett Way outlines his career and presents examples of how his investment techniques and methods evolved and the important individuals in that process. It also details the key investment decisions that produced his unmatched record of performance."" -from the Foreword by Peter S. Lynch Bestselling author, One Up on Wall Street and Beating the Street<br /> <br /> "". . . an extraordinarily useful account of the methods of an investor held by many to be the world's greatest."" -The Wall Street Journal<br /> <br /> ""Robert Hagstrom presents an in-depth examination of Warren Buffett's strategies, and the 'how and why' behind his selection of each of the major securities that have contributed to his remarkable record of success. His 'homespun' wisdom and philosophy are also part of this comprehensive, interesting, and readable book."" -John C. Bogle Chairman, The Vanguard Group<br /> <br /> ""It's first rate. Buffett gets a lot of attention for what he preaches, but nobody has described what he practices better than Hagstrom. Here is the lowdown on every major stock he ever bought and why he bought it. Fascinating. You could even try this at home."" -John Rothchild Financial columnist Time magazine - from Amzon","Economics, Finance, Introduction",""
"1479","Urup: The Flame That Keeps Burning","Puri Lestari","","","","Krea Citra Pustaka","",2017,NA,"",9786025010903,"","H2","",NA,"Book","","",""
"1482","Value Averaging: The Safe and Easy Strategy for Higher Investment Returns","Michael E. Edleson","","","","Wiley","Revised",2006,NA,"0470049774",9780470049778,"","H2","Unknown",NA,"Book","Michael Edleson first introduced his concept of value averaging to the world in an article written in 1988. He then wrote a book entitled <i>Value Averaging</i> in 1993, which has been nearly impossible to find—until now. With the reintroduction of <i>Value Averaging</i>, you now have access to a strategy that can help you accumulate wealth, increase your investment returns, and achieve your financial goals. - from Amzon","Economics, Finance, Investing",""
"1489","Voluntary Carbon Markets: An International Business Guide to What They Are and How They Work (Environmental Markets Insight Series)","Ricardo Bayon; Amanda Hawn; Katherine Hamilton","","","","Earthscan Publications Ltd.","",2007,NA,"184407417X",9781844074174,"","H2","Unknown",NA,"Book","** By the end of 2006 the world carbon market will top $30 billion in transactions and the first carbon billionaire may well have emerged<br /><br />** HSBC, Volvo, Avis, Ricoh, and American Express are but a few of the thousands of companies now offsetting their CO2 emissions and becoming ""carbon neutral"", fuelling a massive international voluntary carbon market that is growing exponentially<br /><br />** This is the only business guide to this ""next big thing"", with complete coverage of what voluntary carbon markets are, where they are, how they work and how to capitalize--as a buyer or a seller--on a market that has the potential to mirror oil and gas in scale and to slow climate change<br /><br />This groundbreaking business book, written in a fast-paced journalistic style, draws together all of the key information on international voluntary carbon markets with commentary from leading practitioners and business people. While maturing quickly, the voluntary market is complex, fragmented, and multi-layered, but it is beginning to consolidate around a few guiding practices and business models from which conclusions can be drawn about market direction and opportunities.<br /><br />The book covers all aspects of voluntary carbon markets in the US, Europe, Australia, Canada, and Asia: what they are, how they work and, most critically, their business potential to help slow climate change. It is the indispensable guide for anyone seeking to understand voluntary carbon markets and capitalize on the opportunities they present for economic and environmental benefit. If you want to be ahead of the curve for the next big thing, you need this book.<br /><br />Related<br />The Business Guide to Sustainability (2006) 1-84407320-3 <br />The Natural Advantage of Nations (2006) 1-84407-340-8 <br />Capitalism as if the World Matters (2005) 1-84407-192-8 - from Amzon","Environmental Economics, International, Systems & Planning, Green Business, Climatology, Business Development",""
"1497","Webster's New Dictionary of Synonyms","","","","","G. & C. Merriam Company","",1978,NA,"0877792410",9780877792413,"","H2","Unknown",NA,"Book","","",""
