Wilayah,Kecamatan,Kelurahan,RW
Jakarta Timur,CAKUNG,PENGGILINGAN,RW 05
Jakarta Timur,CAKUNG,PENGGILINGAN,RW 08
Jakarta Timur,CAKUNG,PENGGILINGAN,RW 09
Jakarta Timur,CAKUNG,PENGGILINGAN,RW 15
Jakarta Timur,CAKUNG,PULO GEBANG,RW 01
Jakarta Timur,CAKUNG,PULO GEBANG,RW 02
Jakarta Timur,CAKUNG,PULO GEBANG,RW 03
Jakarta Timur,CAKUNG,PULO GEBANG,RW 06
Jakarta Timur,CAKUNG,PULO GEBANG,RW 07
Jakarta Timur,CAKUNG,PULO GEBANG,RW 08
Jakarta Timur,CAKUNG,PULO GEBANG,RW 10
Jakarta Timur,CAKUNG,PULO GEBANG,RW 11
Jakarta Timur,CAKUNG,RAWA TERATE,RW 04
Jakarta Timur,CAKUNG,RAWA TERATE,RW 05
Jakarta Timur,CAKUNG,RAWA TERATE,RW 06
Jakarta Timur,CIPAYUNG,BAMBU APUS,RW 01
Jakarta Timur,CIPAYUNG,BAMBU APUS,RW 02
Jakarta Timur,CIPAYUNG,BAMBU APUS,RW 03
Jakarta Timur,CIPAYUNG,CILANGKAP,RW 02
Jakarta Timur,CIPAYUNG,CILANGKAP,RW 03
Jakarta Timur,CIPAYUNG,CILANGKAP,RW 04
Jakarta Timur,CIPAYUNG,LUBANG BUAYA,RW 03
Jakarta Timur,CIPAYUNG,LUBANG BUAYA,RW 10
Jakarta Timur,CIPAYUNG,LUBANG BUAYA,RW 12
Jakarta Timur,CIPAYUNG,PONDOK RANGGON,RW 01
Jakarta Timur,CIPAYUNG,PONDOK RANGGON,RW 04
Jakarta Timur,CIPAYUNG,SETU,RW 03
Jakarta Timur,CIPAYUNG,SETU,RW 04
Jakarta Timur,CIPAYUNG,SETU,RW 05
Jakarta Timur,CIPAYUNG,SETU,RW 06
Jakarta Timur,CIRACAS,CIBUBUR,RW 01
Jakarta Timur,CIRACAS,CIBUBUR,RW 02
Jakarta Timur,CIRACAS,CIBUBUR,RW 03
Jakarta Timur,CIRACAS,RAMBUTAN,RW 01
Jakarta Timur,CIRACAS,RAMBUTAN,RW 02
Jakarta Timur,CIRACAS,RAMBUTAN,RW 03
Jakarta Timur,CIRACAS,RAMBUTAN,RW 05
Jakarta Timur,CIRACAS,RAMBUTAN,RW 06
Jakarta Timur,DUREN SAWIT,PONDOK BAMBU,RW 04
Jakarta Timur,DUREN SAWIT,PONDOK KELAPA,RW 05
Jakarta Timur,JATINEGARA,BIDARA CINA,RW 01
Jakarta Timur,JATINEGARA,BIDARA CINA,RW 02
Jakarta Timur,JATINEGARA,BIDARA CINA,RW 03
Jakarta Timur,JATINEGARA,BIDARA CINA,RW 04
Jakarta Timur,JATINEGARA,BIDARA CINA,RW 05
Jakarta Timur,JATINEGARA,BIDARA CINA,RW 06
Jakarta Timur,JATINEGARA,BIDARA CINA,RW 07
Jakarta Timur,JATINEGARA,BIDARA CINA,RW 09
Jakarta Timur,JATINEGARA,BIDARA CINA,RW 10
Jakarta Timur,JATINEGARA,BIDARA CINA,RW 11
Jakarta Timur,JATINEGARA,BIDARA CINA,RW 12
Jakarta Timur,JATINEGARA,BIDARA CINA,RW 13
Jakarta Timur,JATINEGARA,BIDARA CINA,RW 14
Jakarta Timur,JATINEGARA,BIDARA CINA,RW 15
Jakarta Timur,JATINEGARA,BIDARA CINA,RW 16
Jakarta Timur,JATINEGARA,CIPINANG BESAR SELATAN,RW 01
Jakarta Timur,JATINEGARA,CIPINANG BESAR SELATAN,RW 02
Jakarta Timur,JATINEGARA,CIPINANG MUARA,RW 05
Jakarta Timur,JATINEGARA,CIPINANG MUARA,RW 06
Jakarta Timur,JATINEGARA,CIPINANG MUARA,RW 07
Jakarta Timur,JATINEGARA,CIPINANG MUARA,RW 08
Jakarta Timur,JATINEGARA,CIPINANG MUARA,RW 13
Jakarta Timur,JATINEGARA,CIPINANG MUARA,RW 15
Jakarta Timur,JATINEGARA,CIPINANG MUARA,RW 16
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW 01
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW 02
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW 03
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW 04
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW 05
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW 06
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW 07
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW 08
Jakarta Timur,KRAMAT JATI,BALE KAMBANG,RW 01
Jakarta Timur,KRAMAT JATI,BALE KAMBANG,RW 02
Jakarta Timur,KRAMAT JATI,BALE KAMBANG,RW 03
Jakarta Timur,KRAMAT JATI,BALE KAMBANG,RW 04
Jakarta Timur,KRAMAT JATI,BALE KAMBANG,RW 05
Jakarta Timur,KRAMAT JATI,CAWANG,RW 01
Jakarta Timur,KRAMAT JATI,CAWANG,RW 02
Jakarta Timur,KRAMAT JATI,CAWANG,RW 03
Jakarta Timur,KRAMAT JATI,CAWANG,RW 04
Jakarta Timur,KRAMAT JATI,CAWANG,RW 05
Jakarta Timur,KRAMAT JATI,CAWANG,RW 08
Jakarta Timur,KRAMAT JATI,CAWANG,RW 12
Jakarta Timur,KRAMAT JATI,CILILITAN,RW 05
Jakarta Timur,KRAMAT JATI,CILILITAN,RW 06
Jakarta Timur,KRAMAT JATI,CILILITAN,RW 07
Jakarta Timur,KRAMAT JATI,CILILITAN,RW 08
Jakarta Timur,KRAMAT JATI,CILILITAN,RW 15
Jakarta Timur,KRAMAT JATI,CILILITAN,RW 16
Jakarta Timur,KRAMAT JATI,DUKUH,RW 02
Jakarta Timur,KRAMAT JATI,DUKUH,RW 03
Jakarta Timur,KRAMAT JATI,DUKUH,RW 04
Jakarta Timur,KRAMAT JATI,DUKUH,RW 05
Jakarta Timur,KRAMAT JATI,DUKUH,RW 06
Jakarta Timur,KRAMAT JATI,KRAMAT JATI,RW 11
Jakarta Timur,MAKASAR,CIPINANG MELAYU,RW 02
Jakarta Timur,MAKASAR,CIPINANG MELAYU,RW 03
Jakarta Timur,MAKASAR,CIPINANG MELAYU,RW 04
Jakarta Timur,MAKASAR,CIPINANG MELAYU,RW 05
Jakarta Timur,MAKASAR,CIPINANG MELAYU,RW 09
Jakarta Timur,MAKASAR,CIPINANG MELAYU,RW 10
Jakarta Timur,MAKASAR,CIPINANG MELAYU,RW 11
Jakarta Timur,MAKASAR,CIPINANG MELAYU,RW 12
Jakarta Timur,MAKASAR,HALIM PERDANA KUSUMA,RW 05
Jakarta Timur,MAKASAR,HALIM PERDANA KUSUMA,RW 07
Jakarta Timur,MAKASAR,HALIM PERDANA KUSUMA,RW 08
Jakarta Timur,MAKASAR,KEBON PALA,RW 01
Jakarta Timur,MAKASAR,KEBON PALA,RW 04
Jakarta Timur,MAKASAR,KEBON PALA,RW 06
Jakarta Timur,MAKASAR,KEBON PALA,RW 08
Jakarta Timur,MAKASAR,KEBON PALA,RW 09
Jakarta Timur,MAKASAR,KEBON PALA,RW 10
Jakarta Timur,MAKASAR,KEBON PALA,RW 11
Jakarta Timur,MAKASAR,KEBON PALA,RW 12
Jakarta Timur,MAKASAR,MAKASAR,RW 01
Jakarta Timur,MAKASAR,MAKASAR,RW 04
Jakarta Timur,MAKASAR,MAKASAR,RW 05
Jakarta Timur,MAKASAR,MAKASAR,RW 06
Jakarta Timur,MAKASAR,MAKASAR,RW 07
Jakarta Timur,MAKASAR,PINANG RANTI,RW 04
Jakarta Timur,MAKASAR,PINANG RANTI,RW 05
Jakarta Timur,MATRAMAN,KEBON MANGGIS,RW 01
Jakarta Timur,MATRAMAN,KEBON MANGGIS,RW 02
Jakarta Timur,MATRAMAN,KEBON MANGGIS,RW 03
Jakarta Timur,MATRAMAN,KEBON MANGGIS,RW 04
Jakarta Timur,PASAR REBO,BARU,RW 02
Jakarta Timur,PASAR REBO,BARU,RW 06
Jakarta Timur,PASAR REBO,BARU,RW 07
Jakarta Timur,PASAR REBO,BARU,RW 10
Jakarta Timur,PASAR REBO,GEDONG,RW 01
Jakarta Timur,PASAR REBO,GEDONG,RW 03
Jakarta Timur,PASAR REBO,GEDONG,RW 11
Jakarta Timur,PASAR REBO,KALISARI,RW 02
Jakarta Timur,PASAR REBO,KALISARI,RW 03
Jakarta Timur,PASAR REBO,KALISARI,RW 04
Jakarta Timur,PASAR REBO,KALISARI,RW 11
Jakarta Timur,PASAR REBO,PEKAYON,RW 01
Jakarta Timur,PASAR REBO,PEKAYON,RW 03
Jakarta Timur,PASAR REBO,PEKAYON,RW 04
Jakarta Timur,PASAR REBO,PEKAYON,RW 07
Jakarta Timur,PASAR REBO,PEKAYON,RW 09
Jakarta Timur,PULO GADUNG,PULO GADUNG,RW 01
Jakarta Timur,PULO GADUNG,PULO GADUNG,RW 02
Jakarta Timur,PULO GADUNG,PULO GADUNG,RW 03
Jakarta Timur,PULO GADUNG,PULO GADUNG,RW 04
Jakarta Timur,PULO GADUNG,PULO GADUNG,RW 05
Jakarta Timur,PULO GADUNG,PULO GADUNG,RW 06
Jakarta Timur,PULO GADUNG,PULO GADUNG,RW 07
Jakarta Timur,PULO GADUNG,PULO GADUNG,RW 08
Jakarta Timur,PULO GADUNG,PULO GADUNG,RW 09
Jakarta Timur,PULO GADUNG,PULO GADUNG,RW 10
